Feature
1,CD3
2,CD15
3,CD127
4,IgG2b
5,IgG2a
6,IgG1
7,TIGIT
8,PD-1
9,CD197_(CCR7)
10,CD45RO
11,CD56
12,CD16
13,CD14
14,CD8a
15,CD4
16,CD45RA
17,CD19
18,CD25
19,HLA-DR
