PC,Proportion.Variance.Explained
1,0.36744338217193223
2,0.15456910321097045
3,0.12447245477581707
4,0.07455312664276315
5,0.06446593302402623
6,0.04254430921643117
7,0.027948627540916687
8,0.02626168669824756
9,0.018981991931620742
10,0.017896361618208977
