PC,CD3,CD19,CD45RA,CD4,CD8a,CD14,CD16,CD56,CD25,CD45RO,PD-1,TIGIT,IgG1,IgG2a,IgG2b,CD127,CD15,CD197_(CCR7),HLA-DR
1,-0.22106607398016623,0.20122857789005885,-0.14204360365315055,0.005193392571983709,0.0821793802067642,0.27380992166650797,0.18091338149523545,0.21760939671567223,0.27129425866863505,0.21226509491535467,0.19934413206886953,0.2381856982478057,0.3300678216857149,0.3267670980367768,0.25678424826093027,-0.14657902353456345,0.2974641696608854,0.18559765649870813,0.29566979519396264
2,0.30588708649664675,-0.30184573079259336,-0.46297435822314564,0.4360664483813141,-0.12796228391216039,0.16499933913087442,-0.20048662864137942,-0.13216457246698224,0.08524038793999818,0.4216346771694631,0.1101712305165089,-0.09531800148702632,0.10601760669669737,-0.07170844767986634,-0.04744294828647734,0.2266156439219556,0.15460475331359397,-0.03631683350842695,-0.08993188934419974
3,0.32664662457528515,-0.02364318126653767,0.0642760550424047,-0.0627963579701591,0.14792862176595986,-0.3067552504771397,0.06387049787062718,0.23356604385059845,0.189068808074331,-0.08647671638451672,0.37400973551427236,0.31295423208553164,0.06520242013548512,0.03451674894575646,0.18366318724996325,0.4252901193541869,-0.23185277995995485,0.2697847110771182,-0.2870871033438591
4,0.038887587275258366,-0.3239697523392429,-0.08593533998617302,-0.41200673099934215,0.7048153324614186,0.17444534197501138,0.08749839365426518,0.03447848066114676,-0.15942863192143764,0.15951868414422396,0.0744142806668132,0.006725194597546089,0.01099675610541228,-0.056443658264336435,-0.05630561695606075,0.015158533403651843,0.14162872378780483,-0.29712809715329697,-0.09412347375687778
5,0.10113570791354219,0.2991099698007722,0.059422620373654,-0.20163831678622868,0.26858703716408416,0.029994171428650452,-0.624045239492134,-0.4661154971605295,0.031448997161977243,-0.01958555538274884,0.009160047696451864,-0.12523615239111424,0.05882101154949293,0.1444905004686918,0.07286438338442906,0.14594455178882185,0.05704500941445985,0.28530584735196496,0.15375412645405873
6,-0.1971790555580001,0.33128715062804615,-0.3289178360242,-0.26260985986979685,-0.11050962323778799,-0.285048411406937,-0.05758232024516888,-0.13807537190850908,0.30103427940265387,0.20430438365230363,0.22860779149377003,0.12301469712552425,0.0702719230460968,-0.13738478811395174,-0.24266752804275799,0.005183832229074614,-0.2613823136872273,-0.45134228218945116,0.06212170525147522
7,-0.09283541765977703,0.1107453136791199,-0.11461637542393423,-0.19799065135125068,-0.011884793864106263,-0.05990438461206965,0.14013957670056487,0.2071625672014684,0.2517470000501728,0.07165323506184454,-0.528188583974242,-0.47785400228652286,0.17070607790778858,0.0721434160931403,0.18812222849772214,0.4447015863430576,0.01683647631664131,-0.035729731591152857,-0.12490587481522845
8,-0.009279532110712484,-0.03062184842662762,-0.05445041940320223,-0.07532856410299303,0.05943706826049006,0.005244937403654856,0.14441373737717236,0.06007379600824293,0.10556765375099954,0.04528758250636958,-0.13499744569418187,0.060658903343923855,-0.013162301751308909,0.17218732429915987,-0.8391623442704337,0.09889684752870442,0.04853482498659397,0.42406447490937316,0.03508740493936516
9,0.11257436065838732,-0.2230827270563743,0.04217775880385321,0.01805743934381023,0.05729712012818455,-0.016051994415225042,-0.10791570241857824,-0.20940448622810817,0.4902670193421343,-0.08390727041835233,-0.5300574328521244,0.5149458071218427,0.015402286396670628,0.025943408177298472,0.07559142812419947,-0.20493185265135863,0.029993379677201584,-0.10571117509004943,-0.148967414037933
10,0.05271293737721341,-0.13778618499582654,0.3255890620542189,0.14360300684290295,0.10470098428235107,0.08355612040629368,-0.2801398171621433,0.3214887133208899,0.5533016576266658,-0.14033303074648248,0.2629079852362477,-0.3891523279791099,-0.08485533640397219,0.058187756100554586,-0.15991929804401162,-0.16334359454414238,0.011842400462395816,-0.200596344922442,0.04703300356281396
