PC,Ag_APC-C0956,Ag_APC-C0957,Ag_PE-C0951
1,0.6732842688625656,0.3043961781699841,-0.6738184176895927
2,0.21723371617513906,-0.9525414040075504,-0.21324724197059008
3,0.7067515870933286,0.002800065504834977,0.7074562557319212
