Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000277117,FP565260.3,0.0,-3.5992467267274044,0.0017475800045252017,0.0,-1.7961276666343506,0.12658434863070123,0.0,-1.3311150157337526,0.9390054722319359,0.0,-1.2238960119268363,1.0,0.0,-0.016192033502584913,1.0,0.0,0.4214637684382767,1.0,1.0,8.829722735086058,1.380484193942204e-17
ENSG00000280071,GATD3B,0.0,-3.5061373223359222,0.0026471800778921427,0.1566265060240964,5.011227255423254,7.436959728663214e-08,0.0,-1.2380056113422713,0.9390054722319359,0.0,-1.130786607535354,1.0,0.037037037037037035,1.17645304443981,1.0,0.0,0.514573172829758,1.0,0.0,0.9228321394775403,1.0
ENSG00000275464,FP565260.1,0.0,-4.299686444868496,2.197435473735578e-05,0.0,-2.496567384775443,0.0356621910512965,0.0,-2.031554733874845,0.7102812381663792,0.0,-1.924335730067928,0.508587771508077,0.9259259259259259,8.684247684638507,7.80805878711128e-24,0.0,-0.2789759497028159,1.0,0.0,0.12928301694496636,1.0
ENSG00000280433,FP565260.6,0.0,-5.457227721854976,1.807432334274333e-11,0.0,-3.6541086617619225,0.00037552602242544697,0.8888888888888888,7.501774998430989,8.34592425142951e-34,0.0,-3.0818770070544077,0.027410136784218726,0.0,-1.8741730286301577,0.732687685528461,0.05,-0.411426245726465,1.0,0.0,-1.0282582600415133,1.0
ENSG00000279094,LINC01670,0.0,-1.9211748216147662,0.242435533082473,0.04819277108433735,4.525800428253012,0.0025253015387741834,0.0,0.3469568893788848,1.0,0.0,0.454175893185802,1.0,0.0,1.6618798716100525,1.0,0.0,2.099535673550914,1.0,0.0,2.5077946401986964,1.0
ENSG00000274333,CU633967.1,0.0,-3.406601648785008,0.004133955479142247,0.1566265060240964,6.011227255423254,1.0089003908656716e-08,0.0,-1.1384699377913572,1.0,0.0,-1.03125093398444,1.0,0.0,0.17645304443981047,1.0,0.0,0.6141088463806721,1.0,0.0,1.0223678130284544,1.0
ENSG00000279064,FP236315.1,0.0,-1.1842092274485605,0.6448145921001649,0.024096385542168676,3.7888348340868063,0.04607614523719861,0.0,1.0839224835450905,1.0,0.0,1.1911414873520076,1.0,0.0,2.398845465776258,1.0,0.0,2.8365012677171197,1.0,0.0,3.244760234364902,1.0
ENSG00000275993,SIK1B,0.0,-5.553443037114279,4.4445661425289e-12,0.0,-3.7503239770212256,0.0002292189790801699,0.06349206349206349,-0.8671679159739631,0.9390054722319359,0.9661016949152542,6.312156888313374,1.0829696629939217e-31,0.0,-1.9703883438894607,0.6997524866478217,0.0,-1.5327325419485986,1.0,0.0,-1.1244735753008164,1.0
ENSG00000288187,CU633906.5,0.0,-1.1842092274485605,0.6448145921001649,0.024096385542168676,3.7888348340868063,0.04607614523719861,0.0,1.0839224835450905,1.0,0.0,1.1911414873520076,1.0,0.0,2.398845465776258,1.0,0.0,2.8365012677171197,1.0,0.0,3.244760234364902,1.0
ENSG00000275496,CU633906.1,0.0,-0.5992467267274044,1.0,0.012048192771084338,3.2038723333656494,0.17697228144989302,0.0,1.6688849842662474,1.0,0.0,1.7761039880731637,1.0,0.0,2.983807966497415,1.0,0.0,3.4214637684382767,1.0,0.0,3.829722735086059,1.0
ENSG00000275895,U2AF1L5,1.0,5.258734268400168,1.4517425952138409e-36,0.012048192771084338,-4.496567384775442,2.2855739653861897e-09,0.031746031746031744,-3.439639472511922,6.361990251431868e-06,0.03389830508474576,-3.332420468705005,2.2546858666401366e-05,0.037037037037037035,-2.716631751643678,0.06286931366516452,0.0,-3.2858953636426063,0.07461302868935138,0.0,-2.877636396994824,0.3630581682799673
ENSG00000280145,CU638689.4,0.0,-2.5992467267274044,0.055600259408220824,0.08433734939759036,5.20387233336565,4.655941109387591e-05,0.0,-0.33111501573375257,1.0,0.0,-0.22389601192683628,1.0,0.0,0.9838079664974151,1.0,0.0,1.4214637684382767,1.0,0.0,1.829722735086059,1.0
ENSG00000280164,CU638689.5,0.0,-2.5992467267274044,0.055600259408220824,0.08433734939759036,5.20387233336565,4.655941109387591e-05,0.0,-0.33111501573375257,1.0,0.0,-0.22389601192683628,1.0,0.0,0.9838079664974151,1.0,0.0,1.4214637684382767,1.0,0.0,1.829722735086059,1.0
ENSG00000280018,CU634019.5,0.0,-1.9211748216147662,0.242435533082473,0.04819277108433735,4.525800428253012,0.0025253015387741834,0.0,0.3469568893788848,1.0,0.0,0.454175893185802,1.0,0.0,1.6618798716100525,1.0,0.0,2.099535673550914,1.0,0.0,2.5077946401986964,1.0
ENSG00000273590,SMIM11B,0.0,-3.921174821614766,0.0002356217736140078,0.0,-2.1180557615217124,0.05839367247035138,0.0,-1.6530431106211152,0.9390054722319359,0.0,-1.545824106814198,0.8844381278545037,0.0,-0.33812012838994754,1.0,0.95,8.74339186332564,2.790471130110894e-20,0.0,0.5077946401986964,1.0
