feature_type,feature_id,feature_name,index,genome,num_umis,num_reads,num_barcodes,dup_frac,num_umis_cells,num_reads_cells,num_barcodes_cells,dup_frac_cells
Antibody Capture,CD27,anti-human_CD27,70,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD270,anti-human_CD270_(HVEM_TR2),71,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD272,anti-human_CD272_(BTLA),72,,1,1,1,0.0,0,0,0,0.0
Antibody Capture,CD274,anti-human_CD274_(B7-H1_PD-L1),73,,2,3,2,0.33333333333333337,0,0,0,0.0
Antibody Capture,CD278,anti-human_mouse_rat_CD278_(ICOS),74,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD279,anti-human_CD279,75,,66,106,50,0.37735849056603776,0,0,0,0.0
Antibody Capture,CD28,anti-human_CD28,76,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD29,anti-human_CD29,77,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD3,CD3,78,,41,98,40,0.5816326530612245,0,0,0,0.0
Antibody Capture,CD303,anti-human_CD303_(BDCA-2),79,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD31,anti-human_CD31,80,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD314,anti-human_CD314_(NKG2D),81,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD319,anti-human_CD319_(CRACC),82,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD32,anti-human_CD32,83,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD328,anti-human_CD328_(Siglec-7),84,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD33,anti-human_CD33,85,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD335,anti-human_CD335_(NKp46),86,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD35,anti-human_CD35,87,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD352,anti-human_CD352_(NTB-A),88,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD36,anti-human_CD36,89,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD38,anti-human_CD38,90,,1,1,1,0.0,0,0,0,0.0
Antibody Capture,CD39,anti-human_CD39,91,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD3E,CD3_TotalSeqC_SK7,92,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD4_1,CD4_TotalSeqC_SK3,93,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD4_2,CD4,94,,49,96,47,0.48958333333333337,0,0,0,0.0
Antibody Capture,CD40,anti-human_CD40,95,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD41,anti-human_CD41,96,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD42b,anti-human_CD42b,97,,9,16,9,0.4375,0,0,0,0.0
Antibody Capture,CD44,anti-mouse_human_CD44,98,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD45_1,CD45_1,99,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD45_2,anti-human_CD45_2,100,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD45RA,anti-human_CD45RA,101,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD45RO,anti-human_CD45RO,102,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD47,anti-human_CD47,103,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD48,anti-human_CD48,104,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD49a,anti-human_CD49a,105,,2,4,2,0.5,0,0,0,0.0
Antibody Capture,CD49b,anti-human_CD49b,106,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD49d,anti-human_CD49d,107,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD49f,anti-human_mouse_CD49f,108,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD5,anti-human_CD5,109,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD52,anti-human_CD52,110,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD54,anti-human_CD54,111,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD56,CD56,112,,2,3,2,0.33333333333333337,0,0,0,0.0
Antibody Capture,CD57,anti-human_CD57_Recombinant,113,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD58,anti-human_CD58_(LFA-3),114,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD62L,anti-human_CD62L,115,,1,3,1,0.6666666666666667,0,0,0,0.0
Antibody Capture,CD62P,anti-human_CD62P_(P-Selectin),116,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD64,anti-human_CD64,117,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD69,anti-human_CD69,118,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD7,anti-human_CD7,119,,118,184,108,0.3586956521739131,0,0,0,0.0
Antibody Capture,CD71,anti-human_CD71,120,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD73,anti-human_CD73_(Ecto-5-nucleotidase),121,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD79b,anti-human_CD79b_(Ig_),122,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD8,CD8,123,,71,122,65,0.4180327868852459,0,0,0,0.0
Antibody Capture,CD81,anti-human_CD81_(TAPA-1),124,,4,7,4,0.4285714285714286,0,0,0,0.0
Antibody Capture,CD82,anti-human_CD82,125,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD83,anti-human_CD83,126,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD85j,anti-human_CD85j_(ILT2),127,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD86,anti-human_CD86,128,,2,2,2,0.0,0,0,0,0.0
Antibody Capture,CD88,anti-human_CD88_(C5aR),129,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD94,anti-human_CD94,130,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD95,anti-human_CD95_(Fas),131,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD99,anti-human_CD99,132,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CLEC12A,anti-human_CLEC12A,133,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CLGGLLTMV-A0201-EBV_Immudex,CLGGLLTMV-A0201-EBV_Immudex,134,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CX3CR1,anti-human_CX3CR1,135,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,FceRIa,anti-human_FceRIa,136,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,GILGFVFTL-A0201-Flu_Immudex,GILGFVFTL-A0201-Flu_Immudex,137,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,GLCTLVAML-A0201-EBV_Immudex,GLCTLVAML-A0201-EBV_Immudex,138,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,GPR56,anti-human_GPR56,139,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,HLA-A_B_C,anti-human_HLA-A_B_C,140,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,HLA-DR,anti-human_HLA-DR,141,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,HLA-E,anti-human_HLA-E,142,,15,22,15,0.31818181818181823,0,0,0,0.0
Antibody Capture,Ig_light_chain_g,anti-human_Ig_light_chain_gamma,143,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ig_light_chain_k,anti-human_Ig_light_chain_k,144,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,IgD,anti-human_IgD,145,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,IgG1,IgG1_control_TotalSeqC_MOPC21,146,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,IgG2a,IgG2a_control_TotalSeqC_MOPC173,147,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,IgG2b,IgG2b_control_TotalSeqC_MPC11,148,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,IgM,anti-human_IgM,149,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,integrin_b7,anti-human_mouse_integrin_b7,150,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,KLRG1,anti-human_KLRG1_MAFA,151,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,LOX-1,anti-human_LOX-1,152,,3,5,3,0.4,0,0,0,0.0
