Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000277117,FP565260.3,0.0,-3.6241976640042566,0.0016777612066795706,0.12195121951219512,5.484595542191386,5.872951572568001e-08,0.0,-1.3311150157337526,0.9390054722319359,0.0,-1.2238960119268363,1.0,0.0,0.4214637684382767,1.0
ENSG00000280071,GATD3B,0.0,-3.5310882596127753,0.0025683454451353527,0.11382113821138211,5.3914861377999035,1.422078330680242e-07,0.0,-1.2380056113422713,0.9390054722319359,0.0,-1.130786607535354,1.0,0.0,0.514573172829758,1.0
ENSG00000275464,FP565260.1,0.004901960784313725,-3.2680538537789814,0.00022218349989975718,0.1951219512195122,5.12845173196611,6.010768674071263e-11,0.0,-2.031554733874845,0.7102812381663792,0.0,-1.924335730067928,0.508587771508077,0.0,-0.2789759497028159,1.0
ENSG00000280433,FP565260.6,0.0,-5.482178659131829,8.65183000928385e-12,0.0,-4.373385452936186,2.16595892845373e-06,0.8888888888888888,7.501774998430989,8.34592425142951e-34,0.0,-3.0818770070544077,0.027410136784218726,0.05,-0.411426245726465,1.0
ENSG00000279094,LINC01670,0.0,-1.9461257588916192,0.23955560834391487,0.032520325203252036,3.8065236370787474,0.009621367946703017,0.0,0.3469568893788848,1.0,0.0,0.454175893185802,1.0,0.0,2.099535673550914,1.0
ENSG00000274333,CU633967.1,0.0,-3.431552586061861,0.004050164532531552,0.10569105691056911,5.291950464248989,3.7111801967866616e-07,0.0,-1.1384699377913572,1.0,0.0,-1.03125093398444,1.0,0.0,0.6141088463806721,1.0
ENSG00000279064,FP236315.1,0.0,-1.2091601647254127,0.6434007648039388,0.016260162601626018,3.0695580429125418,0.08905665962360668,0.0,1.0839224835450905,1.0,0.0,1.1911414873520076,1.0,0.0,2.8365012677171197,1.0
ENSG00000275993,SIK1B,0.0,-5.5783939743911315,4.0526321767708514e-12,0.0,-4.469600768195489,8.545023470237004e-07,0.06349206349206349,-0.8671679159739631,0.9390054722319359,0.9661016949152542,6.312156888313374,1.0829696629939217e-31,0.0,-1.5327325419485986,1.0
ENSG00000288187,CU633906.5,0.0,-1.2091601647254127,0.6434007648039388,0.016260162601626018,3.0695580429125418,0.08905665962360668,0.0,1.0839224835450905,1.0,0.0,1.1911414873520076,1.0,0.0,2.8365012677171197,1.0
ENSG00000275496,CU633906.1,0.0,-0.6241976640042566,1.0,0.008130081300813009,2.4845955421913857,0.2622601279317687,0.0,1.6688849842662474,1.0,0.0,1.7761039880731637,1.0,0.0,3.4214637684382767,1.0
ENSG00000275895,U2AF1L5,0.9950980392156863,5.463265177246083,2.774192807943296e-37,0.008130081300813009,-5.215844175949706,1.4981259036026434e-15,0.031746031746031744,-3.439639472511922,6.361990251431868e-06,0.03389830508474576,-3.332420468705005,2.2546858666401366e-05,0.0,-3.2858953636426063,0.07461302868935138
ENSG00000280145,CU638689.4,0.0,-2.6241976640042566,0.053700037226023005,0.056910569105691054,4.484595542191386,0.00033052125004076735,0.0,-0.33111501573375257,1.0,0.0,-0.22389601192683628,1.0,0.0,1.4214637684382767,1.0
ENSG00000280164,CU638689.5,0.0,-2.6241976640042566,0.053700037226023005,0.056910569105691054,4.484595542191386,0.00033052125004076735,0.0,-0.33111501573375257,1.0,0.0,-0.22389601192683628,1.0,0.0,1.4214637684382767,1.0
ENSG00000280018,CU634019.5,0.0,-1.9461257588916192,0.23955560834391487,0.032520325203252036,3.8065236370787474,0.009621367946703017,0.0,0.3469568893788848,1.0,0.0,0.454175893185802,1.0,0.0,2.099535673550914,1.0
ENSG00000273590,SMIM11B,0.0,-3.946125758891619,0.00022218349989975718,0.0,-2.837332552695976,0.015229085663228807,0.0,-1.6530431106211152,0.9390054722319359,0.0,-1.545824106814198,0.8844381278545037,0.95,8.74339186332564,2.790471130110894e-20
ENSG00000277277,FAM243B,0.0,-1.6241976640042566,0.3966895558370906,0.024390243902439025,3.4845955421913857,0.028695547506108903,0.0,0.6688849842662474,1.0,0.0,0.7761039880731637,1.0,0.0,2.4214637684382767,1.0
